Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
Aflac Incorporated,Financial,Insurance - Life,USA,S&P 500,9.25,3.97,0.30%,724.37M,1.52%,26.49B,8.23,3.30%,-1.22%,655.64M,4.55%,2.94B,5.78,1.06,62.90%,1.03%,1.32%,21.84B,1.21,16.70%,0.09%,1.72,-29.81%,36.45,1.01,1.90%,41.73,-31.62%,5.76,6.39,1.60%,10.40%,23.07 - 55.20,-30.49%,1.12,5.82,6.40%,10.00%,-33.39%,0.88,3.05%,-,-0.40%,-,59.38%,1.04,10977,-,-8.80%,19.00%,54.30,2.04% 2.83%,Yes,0.25,-36.60%,13.50%,0.57,36.99,Yes,0.25,Jul 28 AMC,27.30%,3.92M,36.77,3.10,3.14%,1.63%,-16.62%,"2,226,391",-0.59%,2020-07-25 16:25:46.619279
"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,S&P 500,43.51,2.18,0.50%,309.00M,0.47%,28.81B,26.57,14.99%,-5.40%,307.66M,9.53%,683.00M,4.65,0.66,89.70%,1.26%,25.16%,5.24B,5.50,26.10%,-0.11%,2.06,7.42%,15.43,6.14,7.40%,90.17,35.73%,4.36,21.76,9.35%,14.30%,61.13 - 98.09,11.14%,0.72,63.59,37.50%,15.20%,-3.34%,1.12,0.76%,1.20,5.00%,53.70%,55.10%,1.82,16370,1.60,0.00%,15.10%,65.91,1.67% 1.89%,Yes,0.52,-42.90%,13.00%,0.60,96.66,Yes,0.38,May 21 AMC,30.50%,1.88M,94.81,2.40,4.34%,7.31%,16.51%,"1,137,621",-1.91%,2020-07-25 16:25:46.619279
"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,USA,S&P 500,33.01,8.83,0.25%,221.20M,-0.84%,62.89B,29.75,16.95%,0.04%,219.88M,25.04%,1.96B,3.43,1.99,86.20%,1.23%,34.48%,8.98B,7.01,2.90%,0.06%,2.38,19.50%,51.41,5.67,10.00%,261.00,28.06%,10.29,28.33,9.62%,17.10%,167.43 - 299.82,24.06%,5.36,-,11.30%,11.50%,-2.77%,0.90,1.84%,2.40,-3.10%,34.20%,74.11%,6.43,17440,2.60,1.30%,25.70%,75.58,2.19% 2.44%,Yes,0.29,16.30%,21.70%,0.93,293.25,Yes,0.29,Jul 23 BMO,52.70%,1.14M,291.52,2.20,8.74%,16.41%,25.93%,"1,060,310",-0.59%,2020-07-25 16:25:46.619279
"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,S&P 500,37.16,3.01,0.20%,161.99M,-0.81%,17.97B,20.87,8.60%,-23.72%,158.61M,10.67%,494.10M,3.30,1.21,91.30%,5.48%,8.72%,2.95B,6.09,63.00%,0.43%,4.12,16.98%,22.67,4.93,7.70%,115.35,35.11%,7.77,14.39,11.27%,13.90%,75.18 - 116.39,29.36%,-,22.63,9.50%,9.00%,-4.00%,0.34,-,3.20,8.10%,65.60%,48.63%,2.92,7724,3.20,8.20%,19.20%,55.76,2.39% 2.68%,Yes,0.00,15.70%,16.70%,0.47,112.69,Yes,0.51,Jul 28 AMC,0.00%,2.11M,111.74,2.10,0.71%,6.45%,17.48%,"997,534",-0.84%,2020-07-25 16:25:46.619279
"Alaska Air Group, Inc.",Industrials,Airlines,USA,S&P 500,8.23,4.26,0.50%,122.82M,-5.24%,4.33B,15.00,133.10%,-0.20%,122.00M,1.95%,533.00M,-,-3.60,83.10%,2.95%,25.17%,8.54B,0.51,75.50%,0.99%,0.97,-47.45%,32.69,1.07,4.10%,43.40,-45.10%,17.21,2.04,-9.24%,12.90%,20.02 - 72.22,-48.25%,-,4.55,6.90%,14.00%,-51.45%,1.49,-,0.70,10.30%,55.30%,75.12%,1.98,24134,0.70,-12.80%,8.40%,46.49,5.17% 5.21%,Yes,0.56,-,6.20%,0.75,36.67,Yes,0.30,Jul 23 BMO,33.00%,3.70M,35.06,2.00,-3.04%,-2.29%,-30.27%,"2,777,247",-4.39%,2020-07-25 16:25:46.619279
Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,S&P 500,18.26,4.77,0.50%,106.23M,-1.61%,9.04B,19.72,25.54%,-7.83%,105.69M,18.71%,506.90M,1.22,0.74,95.20%,11.56%,41.46%,3.50B,2.59,-18.30%,-0.64%,9.48,7.22%,36.51,2.38,5.60%,71.06,16.66%,5.32,16.35,15.00%,13.10%,48.89 - 99.40,19.17%,1.54,-,14.40%,7.60%,-12.43%,1.49,1.77%,1.10,8.00%,34.80%,78.03%,2.61,6000,1.80,-11.20%,16.90%,63.31,2.19% 3.05%,Yes,0.81,-19.90%,14.50%,0.45,87.93,Yes,0.80,Aug 05 AMC,30.80%,1.29M,87.04,2.80,7.09%,12.61%,21.78%,"586,021",-1.01%,2020-07-25 16:25:46.619279
"Alexandria Real Estate Equities, Inc.",Real Estate,REIT - Office,USA,S&P 500,79.35,2.12,1.20%,126.12M,1.08%,21.92B,60.85,32.92%,-11.16%,124.59M,3.10%,244.00M,793.55,0.57,94.50%,3.37%,12.75%,1.61B,13.59,-11.50%,0.06%,4.17,2.36%,76.77,2.20,1.40%,177.11,17.82%,3.42,49.23,0.10%,2.90%,109.22 - 175.74,4.31%,4.24,-,25.70%,2.40%,-4.09%,0.83,2.52%,-,16.10%,70.70%,54.32%,3.89,439,-,22.60%,23.70%,61.49,1.84% 2.20%,Yes,0.78,-87.60%,15.10%,0.58,168.52,Yes,0.78,Jul 27 AMC,188.60%,1.01M,168.55,1.80,2.83%,6.03%,7.75%,"589,456",0.02%,2020-07-25 16:25:46.619279
"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,S&P 500,9.56,10.61,0.30%,221.60M,-7.09%,22.46B,8.68,7.66%,288.86%,218.85M,-9.34%,2.37B,0.76,2.58,93.30%,2.18%,-6.13%,5.30B,4.24,3.60%,-0.05%,2.30,-3.59%,53.01,1.91,14.60%,137.95,-14.01%,10.68,9.51,12.60%,21.80%,72.67 - 125.52,-6.16%,-,10.83,26.80%,16.90%,-19.14%,1.44,-,3.80,17.40%,92.10%,39.66%,3.07,3082,4.30,26.70%,43.40%,34.14,2.68% 2.65%,Yes,0.21,-3.90%,44.80%,1.17,104.79,Yes,0.20,Jul 30 BMO,0.00%,2.07M,101.49,2.10,-7.70%,-8.18%,-2.78%,"2,433,370",-3.15%,2020-07-25 16:25:46.619279
"Align Technology, Inc.",Healthcare,Medical Devices,USA,S&P 500,12.50,23.85,0.80%,78.59M,-7.50%,22.51B,42.86,131.33%,-4.80%,72.30M,15.72%,1.89B,0.76,-0.04,88.60%,5.08%,55.31%,2.41B,9.35,12.40%,0.05%,3.39,10.43%,36.30,8.21,67.70%,261.43,48.40%,10.47,28.47,16.37%,109.90%,127.88 - 326.36,6.84%,-,46.97,25.50%,32.00%,-8.65%,2.02,-,1.60,25.90%,72.10%,133.14%,11.98,14530,1.70,0.40%,21.80%,55.50,3.14% 3.89%,Yes,0.00,2013.00%,78.40%,0.73,299.05,Yes,0.00,Jul 22 AMC,0.00%,1.08M,298.14,1.90,3.54%,12.19%,22.25%,"796,232",-0.30%,2020-07-25 16:25:46.619279
Allegion plc,Industrials,Security & Protection Services,Ireland,S&P 500,29.52,3.42,0.50%,92.70M,-5.46%,9.36B,22.45,9.15%,-29.28%,91.87M,3.26%,322.00M,-,0.82,98.40%,4.67%,4.61%,2.87B,3.26,-1.30%,0.08%,5.92,-21.08%,6.59,15.33,11.30%,100.00,-3.62%,2.65,38.18,-1.10%,47.50%,77.37 - 139.24,-18.89%,1.28,25.86,17.30%,21.10%,-27.45%,1.18,1.27%,1.40,6.10%,44.10%,30.57%,3.17,11000,2.00,3.00%,15.90%,45.23,3.30% 2.61%,Yes,2.34,-99.50%,11.20%,1.21,102.56,Yes,2.34,Jul 23 BMO,32.80%,724.54K,101.02,3.10,-2.42%,-1.17%,-8.90%,"873,738",-1.50%,2020-07-25 16:25:46.619279
Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,USA,S&P 500,21.28,2.50,0.10%,249.50M,4.63%,12.98B,20.61,7.33%,0.00%,249.06M,12.73%,602.10M,4.02,0.42,76.50%,1.84%,6.28%,3.58B,3.63,7.50%,-0.01%,3.10,-9.86%,22.51,2.36,3.60%,54.00,7.55%,0.23,235.18,5.30%,11.80%,37.66 - 60.28,-2.92%,1.52,-,6.00%,6.00%,-11.88%,0.36,2.86%,0.40,1.70%,94.80%,41.05%,1.13,3597,0.60,-7.20%,22.10%,73.20,2.40% 2.03%,Yes,1.17,31.40%,16.80%,0.96,53.25,Yes,1.06,Aug 06 AMC,57.80%,1.47M,53.12,2.00,7.77%,8.90%,2.25%,"1,414,141",-0.24%,2020-07-25 16:25:46.619279
The Allstate Corporation,Financial,Insurance - Property & Casualty,USA,S&P 500,7.92,11.92,0.30%,317.40M,2.93%,29.62B,8.43,2.27%,-43.22%,312.81M,1.52%,3.93B,1.43,1.59,79.70%,1.11%,-6.98%,43.79B,0.68,149.80%,-0.15%,1.61,-20.22%,69.95,1.35,3.30%,117.08,-7.53%,1.08,87.63,5.54%,17.20%,64.13 - 125.92,-16.09%,2.16,6.78,17.50%,16.00%,-25.06%,0.85,2.29%,-,4.70%,-,47.14%,2.57,45780,-,-8.40%,11.70%,53.12,2.20% 2.64%,Yes,0.30,-57.40%,9.00%,0.86,94.67,Yes,0.30,Aug 04 AMC,16.50%,2.15M,94.36,2.30,2.32%,-1.37%,-9.46%,"1,851,967",-0.33%,2020-07-25 16:25:46.619279
Alphabet Inc.,Communication Services,Internet Content & Information,USA,S&P 500,30.82,48.94,0.14%,686.47M,-0.57%,1029.25B,27.38,32.27%,0.00%,616.15M,5.27%,34.52B,6.42,8.11,81.50%,0.50%,18.14%,166.68B,6.18,12.50%,-0.07%,1.59,2.87%,296.68,5.08,12.90%,1541.44,32.77%,171.78,8.78,4.80%,17.40%,1008.87 - 1587.05,12.60%,-,35.42,19.90%,14.10%,-4.97%,1.05,-,3.60,19.70%,55.10%,49.49%,38.65,123048,3.70,13.30%,21.40%,52.96,2.83% 2.70%,Yes,0.02,-2.60%,20.70%,0.77,1516.75,Yes,0.02,Jul 30 AMC,0.00%,1.95M,1508.21,1.80,1.00%,4.01%,11.80%,"1,488,715",-0.56%,2020-07-25 16:25:46.619279
Alphabet Inc.,Communication Services,Internet Content & Information,USA,S&P 500,30.50,49.57,5.75%,686.47M,-0.24%,1037.85B,27.46,31.40%,-8.56%,612.17M,5.58%,-,3.97,8.23,70.62%,0.39%,18.18%,166.68B,6.23,-14.80%,-,1.39,3.08%,297.76,5.08,-,1560.55,33.54%,-,-,7.69%,-,1013.54 - 1586.99,13.08%,-,-,-,-,-4.73%,-,-,-,-,-,49.17%,39.38,123048,-,13.30%,-,53.71,2.87% 2.77%,Yes,-,2.70%,-,0.90,1515.68,Yes,-,Jul 30 AMC,-,1.71M,1511.87,1.60,1.37%,4.35%,12.00%,"1,538,146",-0.25%,2020-07-25 16:25:46.619279
"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,S&P 500,-,-0.43,0.10%,1.86B,0.75%,77.66B,9.28,5.77%,0.00%,1.86B,6.14%,-803.00M,-,1.04,64.40%,0.66%,6.16%,25.84B,3.01,-117.20%,-0.08%,1.33,-16.72%,3.52,11.89,-1.60%,48.29,-15.61%,3.03,13.83,3.48%,-9.20%,30.95 - 52.45,-16.15%,3.36,33.96,-17.70%,-5.00%,-20.21%,0.46,8.03%,0.50,0.50%,49.40%,35.22%,0.96,7300,0.70,13.00%,2.50%,61.53,2.19% 2.37%,Yes,4.58,37.30%,-3.40%,0.67,41.58,Yes,4.12,Jul 28 BMO,-,9.14M,41.85,2.10,4.16%,5.32%,-3.45%,"6,151,777",0.65%,2020-07-25 16:25:46.619279
"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,S&P 500,143.73,20.93,11.20%,498.00M,1.58%,1519.98B,80.29,98.15%,-3.48%,423.22M,10.04%,10.56B,4.68,1.34,59.80%,0.91%,24.84%,296.27B,5.13,15.90%,0.01%,0.82,61.63%,131.07,22.96,5.00%,2852.48,52.44%,97.58,30.84,30.70%,17.80%,1626.03 - 3344.29,62.83%,-,78.49,115.10%,11.70%,-10.03%,1.31,-,0.80,25.80%,40.60%,85.05%,113.23,840400,1.10,26.40%,4.80%,55.49,4.66% 4.01%,Yes,0.63,-29.40%,3.60%,1.19,2986.55,Yes,0.61,Jul 30 AMC,0.00%,4.71M,3008.91,1.70,0.71%,11.06%,41.36%,"5,612,468",0.75%,2020-07-25 16:25:46.619279
Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,S&P 500,31.66,0.34,0.10%,1.59B,-0.93%,16.77B,15.46,8.66%,10.83%,1.57B,7.13%,520.70M,7.76,0.19,33.20%,3.32%,26.72%,11.93B,1.41,-26.70%,-0.38%,5.39,1.72%,2.97,3.59,-,10.00,-2.82%,0.34,31.18,4.08%,-,5.80 - 11.20,-1.57%,0.46,142.10,-8.00%,5.30%,-4.73%,-,4.31%,0.70,-1.00%,19.70%,83.97%,0.24,50000,1.20,36.00%,7.50%,55.44,1.61% 2.24%,Yes,1.38,17.00%,4.30%,0.58,10.74,Yes,1.31,May 11 AMC,140.90%,9.66M,10.67,2.60,1.65%,4.90%,9.66%,"5,610,145",-0.65%,2020-07-25 16:25:46.619279
Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,S&P 500,25.14,3.16,0.50%,246.40M,0.99%,19.15B,21.14,9.27%,-4.55%,245.83M,14.48%,783.00M,4.30,0.86,83.30%,5.36%,7.98%,5.79B,3.30,1.10%,6.29%,7.34,-1.08%,32.81,2.42,2.70%,80.60,4.29%,0.17,455.88,5.85%,9.80%,58.74 - 87.65,3.54%,1.98,12.35,6.90%,6.10%,-9.28%,0.28,2.49%,0.40,-0.50%,86.00%,35.38%,1.86,9323,0.60,-7.50%,21.10%,68.20,2.23% 2.34%,Yes,1.28,-24.10%,13.50%,0.43,80.52,Yes,1.16,Aug 06 AMC,60.90%,1.79M,79.52,1.90,6.56%,8.75%,4.88%,"780,074",-1.24%,2020-07-25 16:25:46.619279
American Airlines Group Inc.,Industrials,Airlines,USA,S&P 500,-,-1.87,1.10%,425.71M,-4.37%,6.05B,-,90.80%,0.93%,417.74M,-12.65%,-740.00M,-,-7.56,51.10%,34.40%,10.48%,43.70B,0.14,25.20%,-13.38%,1.45,-58.79%,-6.19,-,-1.20%,12.60,-64.04%,6.73,1.69,-,113.10%,8.25 - 34.99,-60.29%,0.40,-,-0.70%,10.30%,-67.45%,1.71,3.51%,0.30,1.40%,60.30%,38.06%,0.98,133000,0.40,-19.50%,0.30%,44.72,6.99% 7.60%,Yes,-,-,-1.70%,0.54,11.77,Yes,-,Jul 23 BMO,-,99.04M,11.39,3.30,-6.69%,-11.93%,-43.96%,"53,466,299",-3.23%,2020-07-25 16:25:46.619279
"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,USA,S&P 500,23.64,3.72,0.10%,494.60M,0.62%,42.43B,19.00,8.40%,-25.52%,-,9.09%,1.84B,4.02,1.03,76.30%,-,5.79%,15.25B,2.78,0.10%,-0.15%,2.19,-13.81%,40.00,2.20,2.50%,90.63,-1.16%,3.61,24.39,5.88%,9.40%,65.14 - 104.97,-6.84%,2.80,16.09,3.60%,5.30%,-16.12%,0.38,3.18%,0.40,-1.00%,79.70%,35.18%,2.01,17408,0.50,-7.60%,16.80%,64.43,2.36% 2.39%,Yes,1.64,-13.60%,12.10%,0.72,88.71,Yes,1.30,May 06 BMO,73.40%,2.91M,88.05,2.30,5.21%,6.55%,-1.12%,"2,085,905",-0.74%,2020-07-25 16:25:46.619279
American Express Company,Financial,Credit Services,USA,DJIA S&P500,14.44,6.60,0.10%,807.00M,0.16%,77.66B,13.82,160.89%,-9.01%,803.90M,-0.16%,5.45B,1.23,-0.11,87.20%,1.27%,14.62%,44.99B,1.73,9.10%,0.25%,1.72,-29.44%,26.03,3.66,2.80%,104.70,-25.03%,44.13,2.16,11.70%,24.20%,67.00 - 138.13,-23.42%,1.72,-,7.50%,4.20%,-30.99%,1.11,1.80%,-,5.50%,68.90%,42.28%,3.04,59000,-,-1.20%,15.40%,47.73,2.68% 2.92%,Yes,6.38,-77.10%,12.10%,0.81,96.67,Yes,2.50,Jul 24 BMO,24.80%,5.93M,95.33,2.50,0.53%,-1.39%,-11.77%,"4,789,334",-1.39%,2020-07-25 16:25:46.619279
"American International Group, Inc.",Financial,Insurance - Diversified,USA,S&P 500,6.36,4.92,0.10%,874.21M,-2.52%,27.34B,6.99,77.50%,2.34%,860.60M,3.33%,4.37B,1.39,0.51,93.50%,1.80%,34.09%,51.82B,0.53,-41.80%,-0.06%,2.23,-38.68%,68.28,0.46,0.80%,37.36,-45.15%,3.14,9.98,4.56%,6.90%,16.07 - 58.66,-39.00%,1.28,-,-6.80%,5.50%,-46.62%,1.47,4.09%,-,-5.00%,-,94.84%,1.31,46000,-,15.20%,15.70%,50.57,2.51% 4.19%,Yes,0.00,166.00%,8.50%,0.57,31.87,Yes,0.59,Aug 03 AMC,25.40%,6.94M,31.31,2.60,1.89%,0.46%,-22.13%,"3,945,313",-1.76%,2020-07-25 16:25:46.619279
American Tower Corporation (REIT),Real Estate,REIT - Specialty,USA,S&P 500,59.97,4.27,0.30%,443.06M,-1.07%,112.92B,51.92,17.74%,-2.13%,442.02M,0.85%,1.91B,3.99,1.03,94.30%,0.88%,4.79%,7.76B,14.55,53.00%,0.04%,1.98,7.92%,8.20,31.26,4.70%,277.13,24.78%,-,-,15.05%,39.30%,174.32 - 269.73,11.54%,4.14,102.49,16.20%,9.20%,-4.97%,0.44,1.62%,0.50,13.10%,71.30%,47.05%,6.41,5454,0.50,9.90%,35.50%,46.40,1.94% 2.52%,Yes,6.76,4.10%,24.60%,0.71,257.90,Yes,6.04,Jul 30 BMO,112.90%,1.96M,256.33,1.90,-1.31%,0.21%,9.03%,"1,383,697",-0.61%,2020-07-25 16:25:46.619279
